netuid,name,symbol,roi_proxy,emission_tao_day,reg_cost_tao,tau_in,alpha_in,market_cap_tao,price_tao,immunity_period,tempo,owner_hk,github
64,Chutes,ش,903480.0,451.74,0.0005,211988.8941,2558110.6795,411926.12,0.082896529,5000,360,5F4Q3cA8EvApwhBj4eLjbb1meiLtzKgWhkF5JLRMNhRfqULc,https://github.com/chutesai/chutes
4,Targon,δ,586356.0,293.178,0.0005,125202.8191,2325819.8729,265151.91,0.053833345,7520,360,5Hp18g9P8hLGKp9W3ZDr4bvJwba6b6bY3P2u3VdYf8yMR8FM,https://github.com/manifold-inc/targon
3,deprecated,γ,368363.2,184.1816,0.0005,84087.8443,2484895.898,163673.94,0.033865258,10000,360,5HdTZQ6UXD7MWcRsMeExVwqAKKo4UwomUd662HvtXiZXkxmv,https://github.com/username/repo
62,Ridges,ز,360927.4,180.4637,0.0005,51681.1257,1559786.335,153134.03,0.033303304,7400,360,5EsNzkZ3DwDqCsYmSJDeGXX51dQJd5broUCH6dbDjvkTcicD,https://github.com/ridgesai/ridges
8,Vanta,θ,355155.8,177.5779,0.0005,83496.9511,2557211.9222,157657.88,0.032653414,1200,360,5F6tnxzAAxbhaWRmeUmB63JEM3VXBNSmqb3AwYJVDStQjw8y,https://github.com/taoshidev/vanta-network
44,Score,ף,347098.0,173.549,0.0005,52697.3224,1647393.797,150905.75,0.031964782,7500,360,5FsREvyUXSZWYRqVyQLDdpYmZZPnkhZyW6HjooozKP1nQkwu,https://github.com/score-technologies/score-vision
56,Gradients,ج,281211.2,140.6056,0.0005,63019.9471,2438688.2341,123883.87,0.025870254,5000,360,5GU4Xkd3dCGTU3s8VLcHGc5wsD5M8XyxDca5yDQhYm1mVXFu,https://github.com/gradients-ai/G.O.D
9,iota,ι,242740.0,121.37,0.0005,47504.6389,2131306.3113,109458.22,0.022290764,5000,360,5FsbubeciqtB5Nik3umL2iD4fG8FcC9GbT9nHJfXMj4mJJZ9,https://github.com/macrocosm-os/iota
5,Hone,ε,182838.6,91.4193,0.0005,35284.9289,2094419.7494,78907.89,0.016847719,5000,360,5GZ2KuT2TtLbYTtsMcgAtazo6KQ4bc57ykZgyQv9oit3y7iq,https://github.com/manifold-inc/hone
17,404—GEN,ρ,168629.0,84.3145,0.0005,31311.3567,2017563.6002,73750.14,0.015521972,5000,360,5E7eSeRr2aHzCV7SkY4a2Pi5NXHrU4anZz3phEQgn4HCen2B,https://github.com/404-Repo/404-gen-subnet
19,blockmachine,t,158854.4,79.4272,0.0005,38067.5273,2605244.452,69940.12,0.014614606,7000,360,5CK49hDJcseEk1V7iB1dmmztdw4igafhxLsVN82VtUVAQRfC,https://github.com/taostat/blockmachine/
29,Coldint,ה,151976.4,75.9882,0.0005,18337.2891,1304187.0778,67219.57,0.013976827,5000,360,5HHHHHzgLnYRvnKkHd45cRUDMHXTSwx7MjUzxBrKbY4JfZWn,https://github.com/coldint/coldint_validator
24,Quasar,ω,138816.6,69.4083,0.0005,13974.4392,1083974.2369,60394.44,0.012783125,10800,360,5GE25P2qGpGmjzGipqezZckMvyR2mpcsJS387bbcpitNSfm5,https://github.com/SILX-LABS/QUASAR-SUBNET/
81,deprecated,ᚠ,103547.6,51.7738,0.0005,21661.4387,2252979.302,40542.4,0.009619092,10799,360,5F9uEDDovurwEJihzZSpKypipVy84EEAPHTt3EfepTjcQfij,https://github.com/deprecated/deprecated
85,Vidaio,ᚱ,98099.05,72.0047,0.000734,19019.8902,1408384.0218,53223.55,0.013446589,7000,360,5FR392L6eKrTGwUjQurpxw89YUe7LzKANktDwRKLYYSgwxhb,https://github.com/vidaio-subnet/vidaio-subnet
1,Apex,α,59136.53,60.3784,0.001021,29628.4935,2665006.7118,52651.68,0.011118274,7200,99,5HCFWvRqzSHWRPecN7q8J6c7aKQnrCZTMHstPv39xL1wgDHh,https://github.com/macrocosm-os/apex
75,Hippius,م,55193.67,128.1597,0.002322,37926.9566,1595455.5322,104438.66,0.023730129,5000,360,5G1Qj93Fy22grpiGKq6BEvqqmS2HVRs3jaEdMhq9absQzs6g,https://github.com/thenervelab/thebrain
51,lium.io,ת,53482.3,267.4115,0.005,105944.1669,2154263.9044,236346.72,0.049189436,5000,360,5FTVrwEpjvpNeKwczFtYjs62GHKKLHLCdqCThtj2unZouKg1,https://github.com/Datura-ai/lium-io
93,Bitcast,ᚃ,20320.34,101.6017,0.005,22136.0219,1163004.6556,73765.55,0.01900497,50400,360,5DAoDtMxVqtMu2Nd5E7QhPEGXDMgrySvE1b3rRT5ARDhfNNK,https://github.com/bitcast-network/bitcast
120,Affine,ⴷ,2310.03,407.1912,0.176271,89715.7697,1145021.7989,235516.64,0.077948702,5000,360,5Fn7rj78bfSrNcFQCHShC7aoVSneGLbiPD7xFHu3zhwFrQhs,https://github.com/AffineFoundation/affine
34,BitMind,י,415.79,77.7603,0.18702,37107.6149,2584437.1384,65586.55,0.014357154,5000,360,5HjBSeeoz52CLfvDWDkzupqrYLHz1oToDPHjdmJjc4TF68LQ,https://github.com/BitMind-AI/bitmind-subnet
11,TrajectoryRL,λ,364.67,72.9331,0.2,25115.3929,1870817.2395,63643.46,0.013429253,10800,360,5ECzcM7sixWNEeD6RbpeEHW1YcYMFejwHuvDBgQxVSjGyrMS,https://github.com/trajectoryRL/trajectoryRL
66,Tau coding agent,ض,144.29,59.1688,0.410062,11433.5415,1023043.7487,51778.14,0.010892361,6080,360,5DRPoRiBSPNvgSvRsehaUhtXqPgXYrds8VS42vdzT5MzcpZV,https://github.com/unarbos/tau
50,Synth,ש,80.22,64.1723,0.8,16578.9546,1398768.7532,53943.03,0.01185162,65535,360,5DxyiWpGqN5xXiczXcEGph51BcgTqcYKD5GKZqoACuc2sJkD,https://github.com/mode-network/synth-subnet
