netuid,name,emission_total_tao_day,miners_scoring,max_uniform_usd_month,top1_usd_month,median_usd_month,gini,github_url
8,Vanta,177.5779,37,46074.27,752429.22,3250.23,0.8551,https://github.com/taoshidev/vanta-network
56,Gradients,140.6056,17,79400.81,373937.1,11116.75,0.6669,https://github.com/gradients-ai/G.O.D
34,BitMind,77.7603,50,14929.98,359872.49,1708.1,0.8723,https://github.com/BitMind-AI/bitmind-subnet
12,Compute Horde,36.263,6,58020.8,339440.52,1736.86,0.8084,https://github.com/backend-developers-ltd/ComputeHorde/
6,Numinous,27.8683,51,5245.8,255069.55,151.24,0.9578,https://github.com/numinouslabs/numinous
45,Talisman AI,23.6224,6,37795.84,226290.56,100.36,0.8314,https://github.com/Team-Rizzo/talisman-ai
22,Desearch,26.8287,139,1852.92,208629.22,365.89,0.8305,https://github.com/datura-ai/desearch
59,Babelbit,22.1949,174,1224.55,202774.34,61.89,0.9525,https://github.com/babelbit/babelbit_subnet
74,Gittensor,42.4013,15,27136.83,146410.74,7869.28,0.6624,https://github.com/entrius/gittensor/tree/main
105,Beam,55.1097,8,66131.64,141251.01,47331.85,0.3765,https://github.com/orgs/Beam-Network/repositories
61,RedTeam,24.2591,80,2911.09,116523.68,1516.5,0.6628,https://github.com/RedTeamSubnet/RedTeam
118,HODL Exchange,15.9859,49,3131.93,93183.09,576.42,0.836,https://github.com/mobiusfund/etf
71,Leadpoet,36.9923,179,1983.94,83278.74,1169.18,0.5468,https://github.com/leadpoet/leadpoet
65,TAO Private Network,23.3011,24,9320.44,72987.12,5596.2,0.6161,https://github.com/taofu-labs/tpn-subnet
77,Liquidity,23.3542,9,24911.15,68414.53,7858.99,0.5755,https://github.com/creativebuilds/sn77
18,Zeus,38.017,9,40551.47,54292.05,44489.32,0.1669,https://github.com/Orpheus-AI/Zeus
73,MetaHash,25.6859,6,41097.44,41097.44,41097.44,0.0,https://github.com/fx-integral/metahash
41,Almanac,29.4212,34,8307.16,32907.15,7649.33,0.4892,https://github.com/sportstensor/sn41
50,Synth,64.1723,234,2632.71,24959.87,848.84,0.6778,https://github.com/mode-network/synth-subnet
57,Sparket.AI,17.2813,8,20737.56,24654.13,20331.86,0.0312,https://github.com/sparket-ai/sparket-ai
85,Vidaio,72.0047,100,6912.45,23144.12,5167.57,0.3551,https://github.com/vidaio-subnet/vidaio-subnet
123,MANTIS,24.512,247,952.69,22081.07,497.18,0.6159,https://github.com/Barbariandev/MANTIS
79,MVTRX,21.676,232,896.94,16082.24,331.76,0.6897,https://github.com/taos-im/sn-79
88,Investing,21.6905,116,1795.08,14098.39,259.2,0.7441,https://github.com/mobiusfund/investing
128,ByteLeap,18.6938,42,4272.87,8040.12,4146.07,0.2063,https://github.com/byteleapai/byteleap-Miner
54,Yanez MIID,41.7407,182,2201.71,7117.69,1968.72,0.3133,https://github.com/yanez-compliance/MIID-subnet
13,Data Universe,44.0829,241,1756.0,4794.41,1620.33,0.2411,https://github.com/macrocosm-os/data-universe
33,ReadyAI,48.5742,232,2009.97,2928.9,2003.99,0.0926,https://github.com/afterpartyai/bittensor-conversation-genome-project
126,Poker44,35.4564,240,1418.26,1883.16,1530.07,0.155,https://github.com/Poker44/Poker44-subnet
111,oneoneone,21.624,249,833.7,1509.16,814.26,0.152,https://github.com/oneoneone-io/subnet-111
103,Djinn,31.536,246,1230.67,1274.83,1274.83,0.0294,https://github.com/Djinn-Inc/djinn/
82,Hermes,18.0921,246,706.03,885.45,686.03,0.0693,https://github.com/SN-Hermes/hermes-subnet
72,StreetVision by NATIX,18.5074,246,722.24,825.81,763.33,0.074,https://github.com/natixnetwork/streetvision-subnet
78,Loosh,12.5196,237,507.12,650.54,548.9,0.1178,https://github.com/Loosh-ai/loosh-inference-subnet
