netuid,name,reason,sample_match
46,RESI,BURN_FLAGS(1),BURN_?(LIST|UID|UIDS|EMISSION|ERS|PCT)
74,Gittensor,REPO_INACCESSIBLE,
38,colosseum,BURN_FLAGS(1),BURN_?(LIST|UID|UIDS|EMISSION|ERS|PCT)
126,Poker44,BURN_FLAGS(1),BURN_?(LIST|UID|UIDS|EMISSION|ERS|PCT)
79,MVTRX,BURN_FLAGS(1),BURN_?(LIST|UID|UIDS|EMISSION|ERS|PCT)
20,GroundLayer,REPO_INACCESSIBLE,
124,Swarm,BURN_FLAGS(1),BURN_?(LIST|UID|UIDS|EMISSION|ERS|PCT); BACKEND_URL
73,MetaHash,BURN_FLAGS(1),TREASURY_?(UID|HOTKEY)
54,Yanez MIID,BURN_FLAGS(1),BURN_?(LIST|UID|UIDS|EMISSION|ERS|PCT); https?://[a-z0-9.-]+\.io/api
49,Nepher Robotics,BURN_FLAGS(1),BURN_?(LIST|UID|UIDS|EMISSION|ERS|PCT)
47,EvolAI,BURN_FLAGS(1),BURN_?(LIST|UID|UIDS|EMISSION|ERS|PCT)
80,dogelayer,BURN_FLAGS(1),BURN_?(LIST|UID|UIDS|EMISSION|ERS|PCT)
113,TensorUSD,BURN_FLAGS(1),BURN_?(LIST|UID|UIDS|EMISSION|ERS|PCT)
108,TalkHead,BURN_FLAGS(1),BURN_?(LIST|UID|UIDS|EMISSION|ERS|PCT)
